time,wind_speed,wind_smooth,dv_dt,wind_zscore,volume,drama
2026-05-17 03:00:00,2.69,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:01:00,2.643585087176632,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:02:00,2.597984681304404,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:03:00,2.553194935561943,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:04:00,2.5092120031278813,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:05:00,2.4660320371808475,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:06:00,2.4236511908994745,2.3894522603429675,0.0,-1.132547059263386,0.1485435416538259,0.0
2026-05-17 03:07:00,2.382065617462389,2.3894522603429675,-0.00034025042566903827,-1.132547059263386,0.1485435416538259,-0.5048692632103703
2026-05-17 03:08:00,2.3412714700482233,2.348622209262683,-0.0006739376913251734,-1.1496155446035456,0.14343747336593332,-1.0
2026-05-17 03:09:00,2.3012649018356064,2.3085797373839467,-0.0006608434281441089,-1.1663547924409305,0.13842989707300105,-0.9805705136400412
2026-05-17 03:10:00,2.2620420660031693,2.26932099788539,-0.0006478132786525352,-1.182766410890456,0.13352033170454103,-0.9612361602431385
2026-05-17 03:11:00,2.223599115729541,2.2308421439456425,-0.0006348472428504559,-1.1988520080670382,0.12870829619006507,-0.9419969398092969
2026-05-17 03:12:00,2.1859322041933527,2.193139328743335,-0.0006219453207378785,-1.2146131920855925,0.12399330945908507,-0.9228528523385277
2026-05-17 03:13:00,2.149037484573234,2.156208705457097,-0.000609107512314803,-1.2300515710610351,0.11937489044111274,-0.9038038978308308
2026-05-17 03:14:00,2.112911110047814,2.120046427265559,-0.0005963338175812294,-1.245168753108282,0.11485255806565989,-0.8848500762862062
2026-05-17 03:15:00,2.0775492337957244,2.0846486473473496,-0.0005836242365371466,-1.2599663463422492,0.11042583126223825,-0.8659913877046375
2026-05-17 03:16:00,2.0429480089955945,2.0500115188811012,-0.0005709787691825618,-1.274445958877852,0.10609422896035983,-0.8472278320861354
2026-05-17 03:17:00,2.009103588826054,2.016131195045442,-0.0005583974155174809,-1.288609198830007,0.10185727008953625,-0.8285594094307086
2026-05-17 03:18:00,1.9760121264657355,1.9830038290190035,-0.0005458801755418944,-1.3024576743136294,0.0977144735792795,-0.809986119738343
2026-05-17 03:19:00,1.9436697750932657,1.9506255739804148,-0.0005334270492558098,-1.3159929934436356,0.09366535835910118,-0.7915079630090498
2026-05-17 03:20:00,1.912072687887277,1.9189925831083063,-0.0005210380366592197,-1.3292167643349413,0.08970944335851323,-0.773124939242818
2026-05-17 03:21:00,1.8812170180263976,1.8881010095813084,-0.0005087131377521296,-1.3421305951024622,0.08584624750702748,-0.7548370484396556
2026-05-17 03:22:00,1.8510989186892592,1.8579470065780508,-0.0004964523525345377,-1.3547360938611146,0.08207528973415563,-0.73664429059956
