time,wind_speed,temp,humidity,pressure,rain,wind_smooth,midi_note,change_rate,chord_inversion,rhythm_density,humidity_code,pressure_diff
2026-05-26 09:00:00,5.78,26.03,63.0,1013.0,0.0,5.754170724799655,60,0,0,0,6,0
2026-05-26 09:10:00,5.742902704182342,25.984292627400702,62.66234258671232,1013.1018567898905,0.024916090369074387,5.741874861738467,60,0,-1,0,6,0
2026-05-26 09:20:00,5.694792810751765,25.934293820262873,62.40126418677837,1013.1971871600678,0.045165789232198106,5.6938201766627365,60,1,-1,0,6,0
2026-05-26 09:30:00,5.636261837795888,25.88017431656591,62.21353103107567,1013.2861934634708,0.06107442535624263,5.635344412061704,60,1,-1,0,6,0
2026-05-26 09:40:00,5.5679013034023255,25.82210485428918,62.095909350481726,1013.3690780530384,0.07296732750807937,5.5670390860229855,60,2,-1,1,6,0
2026-05-26 09:50:00,5.490302725658691,25.76025617141209,62.045165375874085,1013.4460432817091,0.08116982445457985,5.489495716634197,60,2,-1,1,6,0
2026-05-26 10:00:00,5.404057622652603,25.694799005914035,62.05806533813025,1013.517291502422,0.0860072449626155,5.403305821982952,59,2,-1,1,6,1
2026-05-26 10:10:00,5.309757512471677,25.625904095774413,62.13137546812777,1013.5830250681164,0.08780491779905786,5.309060920156869,59,2,-1,1,6,1
2026-05-26 10:20:00,5.207993913203524,25.553742178972584,62.261861996744145,1013.6434463317303,0.08688817173077823,5.20735252924356,59,2,-1,1,6,1
2026-05-26 10:30:00,5.099358342935762,25.47848399348797,62.446291154856894,1013.6987576462027,0.08358233552464821,5.098772167330642,59,3,-1,1,6,1
2026-05-26 10:40:00,4.984442319756005,25.40030027729994,62.681429173343545,1013.7491613644727,0.07821273794753919,4.98391135250573,58,3,-1,1,6,1
2026-05-26 10:50:00,4.86383736175187,25.3193617683879,62.96404228308162,1013.7948598394785,0.07110470776632269,4.86336160285644,58,3,-1,1,6,1
2026-05-26 11:00:00,4.738134987010972,25.23583920473123,63.29089671494865,1013.8360554241601,0.06258357374787019,4.737714436470385,58,3,-1,0,6,1
2026-05-26 11:10:00,4.607926713620927,25.149903324309335,63.65875869982216,1013.8729504714555,0.052974664659053074,4.607561371435183,58,3,-1,0,6,1
2026-05-26 11:20:00,4.473804059669345,25.06172486510159,64.06439446857965,1013.9057473343036,0.04260330926674284,4.473493925838446,57,3,-1,0,6,1
2026-05-26 11:30:00,4.336358543243848,24.971474565087398,64.50457025209866,1013.9346483656432,0.03179483633781099,4.336103617767793,57,3,-2,0,6,1
2026-05-26 11:40:00,4.196181682432048,24.879323162246138,64.97605228125671,1013.9598559184133,0.020874574639128812,4.195981965310837,57,3,-2,0,6,1
2026-05-26 11:50:00,4.05386499532156,24.78544139455721,65.47560678693132,1013.9815723455528,0.010167852937568056,4.053720486555194,56,3,-2,0,7,1
2026-05-26 12:00:00,3.91,24.69,66.0,1014.0,0.0,3.909910699588478,56,3,-2,0,7,1
2026-05-26 12:10:00,3.7651782145549837,24.593169716553902,66.5459981513403,1014.0153412346943,-0.009303655406703873,3.7651441224983055,56,4,-2,0,7,1
2026-05-26 12:20:00,3.619991157074126,24.495121282198312,67.11036747182973,1014.0277984025747,-0.01741778451567215,3.6200122733722915,55,4,-2,0,7,1
2026-05-26 12:30:00,3.4750303456450418,24.39602543491261,67.68987419234578,1014.0375738565791,-0.024017058560033222,3.4751066702980515,55,4,-2,0,7,1
2026-05-26 12:40:00,3.3308872983553472,24.296052912676195,68.28128454376605,1014.0448699496476,-0.028776148772915705,3.3310188313632003,55,3,-2,0,7,1
2026-05-26 12:50:00,3.188153533292655,24.195374453468446,68.88136475696797,1014.0498890347175,-0.031369726387448144,3.1883402746553533,54,3,-2,0,7,1
2026-05-26 13:00:00,3.0474205685445837,24.09416079526877,69.48688106282913,1014.0528334647289,-0.031472462636759096,3.047662518262126,54,3,-2,0,7,1
2026-05-26 13:10:00,2.9092799221987473,23.992582676056546,70.094599692227,1014.05390559262,-0.02875902875397704,2.909577080271133,54,3,-3,0,7,1
2026-05-26 13:20:00,2.7743231123427607,23.890810833811173,70.70128687603918,1014.0533077713301,-0.022904095972230587,2.7746754787699905,53,3,-3,0,7,1
2026-05-26 13:30:00,2.643141657064239,23.78901600651204,71.3037088451431,1014.0512423537974,-0.013582335524648215,2.6435492318463134,53,3,-3,0,7,1
2026-05-26 13:40:00,2.516327074450798,23.68736893213853,71.89863183041636,1014.0479116929614,-0.000468418644358537,2.516789857587716,53,3,-3,0,7,1
2026-05-26 13:50:00,2.3944708825900527,23.586040348670043,72.48282206273643,1014.0435181417605,0.01676298343550997,2.3949888740818155,52,3,-3,0,7,1
2026-05-26 14:00:00,2.278164599569618,23.485200994085957,73.05304577298085,1014.0382640531332,0.038437199481829,2.2787377994162252,52,3,-3,0,7,1
2026-05-26 14:10:00,2.1679997434771106,23.385021606365683,73.60606919202715,1014.0323517800192,0.06487955826146952,2.1686281516785613,52,3,-3,0,7,1
2026-05-26 14:20:00,2.064567832400144,23.285672923488594,74.13865855075282,1014.0259836753567,0.09641538854130333,2.065251448956439,52,3,-3,1,7,1
2026-05-26 14:30:00,1.968460384426335,23.187325683434093,74.64758008003544,1014.0193620920847,0.13337001908820195,1.9691992093374735,51,2,-3,1,7,1
2026-05-26 14:40:00,1.8802689176432978,23.090150624181568,75.12960001075248,1014.0126893831421,0.17606877866903659,1.8810629509092804,51,2,-3,1,8,1
2026-05-26 14:50:00,1.8005849501386475,22.99431848371041,75.58148457378152,1014.0061679014676,0.22483699605067875,1.8014341917594743,51,2,-4,2,8,1
2026-05-26 15:00:00,1.73,22.9,76.0,1014.0,0.28,1.7308954903157057,51,2,-4,2,8,1
2026-05-26 15:10:00,1.668934163249303,22.807335776616874,76.3829172084752,1013.9943571465036,0.3416400950437496,1.6697978252230443,51,1,-4,3,8,1
2026-05-26 15:20:00,1.6171218476458347,22.716345879476123,76.73202587103307,1013.9892872680431,0.408867488748186,1.6179447216176466,51,1,-4,3,8,1
2026-05-26 15:30:00,1.5741260388832061,22.62702024007996,77.05012034768932,1013.9848074065087,0.4805493644394459,1.5749081248530885,51,1,-4,4,8,1
2026-05-26 15:40:00,1.539509722655029,22.539348789930614,77.33999499845963,1013.9809346037913,0.555552905443666,1.5402510206229811,50,1,-4,4,8,1
2026-05-26 15:50:00,1.5128358846549124,22.4533214605303,77.60444418335966,1013.9776859017801,0.6327452950869824,1.5135363946209353,50,1,-4,5,8,1
2026-05-26 16:00:00,1.4936675105764687,22.36892818338125,77.84626226240509,1013.975078342366,0.7109937166955322,1.4943272325405623,50,0,-4,5,8,1
2026-05-26 16:10:00,1.4815675861133089,22.286158889985682,78.06824359561162,1013.973128967439,0.7891653535954514,1.4821865200754727,50,0,-4,6,8,1
2026-05-26 16:20:00,1.4760990969590442,22.205003511845828,78.27318254299492,1013.9718548188896,0.8661273891128769,1.4766772429192774,50,0,-4,7,8,1
2026-05-26 16:30:00,1.476825028807284,22.125451980463886,78.46387346457065,1013.9712729386075,0.9407470065739448,1.477362386765588,50,0,-4,7,8,1
2026-05-26 16:40:00,1.4833083673516405,22.047494227342106,78.64311072035456,1013.9714003684836,1.011891389304792,1.483804937308015,50,0,-4,8,8,1
2026-05-26 16:50:00,1.4951120982857247,21.9711201839827,78.81368867036225,1013.9722541504076,1.0784277206315551,1.4955678802401695,50,0,-5,8,8,1
